Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
16585,5;0;2,7;0;0;0;0,36;0;0;0;
16585,75;0;2,05;0;0;0;0,36;0;0;0;
16586;0;1,95;0;0;0;0,38;0;0;0;
16586,25;0;1,91;0;0;0;0,37;0;0;0;
16586,5;0;1,77;0;0;0;0,29;0;0;0;
16586,75;0;1,61;0;0;0;0,13;0;0;0;
16587;0;1,61;0;0;0;-0,08;0;0;0;
16587,25;0;1,61;0;0;0;-0,55;0;0;0;
16587,5;0;1,54;0;0;0;-0,8;0;0;0;
16587,75;0;1,6;0;0;0;-0,95;0;0;0;
16588;0;1,84;0;0;0;-1,01;0;0;0;
16588,25;0;2,29;0;0;0;-0,98;0;0;0;
16588,5;0;2,93;0;0;0;-0,86;0;0;0;
16588,75;0;3,71;0;0;0;-0,74;0;0;0;
16589;0;4,36;0;0;0;-0,65;0;0;0;
16589,25;0;4,75;0;0;0;-0,53;0;0;0;
16589,5;0;4,8;0;0;0;-0,37;0;0;0;
16589,75;0;4,55;0;0;0;-0,14;0;0;0;
16590;0;4,19;0;0;0;0,16;0;0;0;
16590,25;0;3,84;0;0;0;0,5;0;0;0;
16590,5;0;3,48;0;0;1,22;0,81;0;0;0;
16590,75;-0,2;3,19;1,25;2,15;1,22;1,07;0,25;1,04;0,12;
16591;-0,21;2,96;1,29;2,15;1,22;1,2;0,41;1,14;0,18;
16591,25;-0,22;2,72;1,34;2,15;1,22;1,2;0,49;1,17;0,23;
16591,5;-0,19;2,44;1,34;2,15;1,22;1,16;0,63;1,1;0,28;
16591,75;-0,18;2,22;1,34;2,15;1,22;1,14;0,66;0,96;0,31;
16592;-0,21;1,92;1,44;2,05;1,22;1,08;0,75;0,73;0,34;
16592,25;-0,2;1,54;1,64;2,05;1,22;1;0,73;0,45;0,34;
16592,5;-0,21;1,2;1,78;2;1,22;0,89;0,77;0,13;0,34;
16592,75;-0,21;0,95;1,83;2;1,21;0,78;0,69;-0,17;0,31;
16593;-0,19;0,7;1,88;2;1,22;0,65;0,67;-0,45;0,29;
16593,25;-0,19;0,42;1,83;2;1,22;0,55;0,53;-0,67;0,25;
16593,5;-0,4;0,24;1,83;1,95;1,22;0,45;0,46;-0,81;0,21;
16593,75;-0,57;0,19;1,83;1,95;1,22;0,33;0,3;-0,88;0,16;
16594;-0,57;0,29;1,83;1,95;1,22;0,25;0,2;-0,87;0,12;
16594,25;-0,58;0,39;1,88;1,96;1,22;0,22;0,05;-0,8;0,08;
16594,5;0,79;0,5;1,88;1,95;1,22;0,16;-0,06;-0,66;0,05;
16594,75;0,8;0,56;1,81;1,95;1,22;0,02;-0,17;-0,51;0,03;
16595;0,96;0,59;1,74;1,94;1,22;-0,14;-0,27;-0,31;0,02;
16595,25;0,99;0,54;1,64;1,86;1,22;-0,28;-0,3;-0,12;0,02;
16595,5;0,97;0,46;1,39;1,86;1,22;-0,39;-0,39;0,08;0,03;
16595,75;1;0,3;1,05;1,81;1,22;-0,48;-0,34;0,26;0,06;
16596;0,98;0,22;0,86;1,81;1,22;-0,53;-0,41;0,43;0,1;
16596,25;0,96;0,37;0,62;1,81;1,22;-0,53;-0,28;0,57;0,14;
16596,5;0,98;0,65;0,46;1,81;1,22;-0,51;-0,34;0,68;0,18;
16596,75;0,78;1,04;0,37;1,81;1,21;-0,5;-0,14;0,76;0,23;
16597;0,79;1,47;0,32;1,76;1,21;-0,47;-0,2;0,78;0,27;
16597,25;0,79;1,84;0,32;1,66;1,22;-0,44;0,02;0,76;0,31;
16597,5;0,6;2,08;0,37;1,56;1,22;-0,4;-0,05;0,67;0,32;
16597,75;-0,59;2,16;0,46;1,51;1,21;-0,26;0,16;0,56;0,33;
16598;0,59;2,13;0,76;1,42;1,22;-0,02;0,08;0,36;0,32;
16598,25;-0,57;2,04;1,11;1,41;1,22;0,31;0,25;0,17;0,29;
16598,5;-0,29;1,86;1,68;1,42;1,21;0,65;0,15;-0,09;0,25;
16598,75;0;1,61;2,2;1,42;1,22;0,93;0,25;-0,33;0,19;
16599;0,38;1,41;3,01;1,42;1,22;1,07;0,14;-0,59;0,11;
16599,25;0,38;1,16;3,73;1,66;1,21;1,07;0,17;-0,81;0,02;
16599,5;0,49;0,7;3,98;2,16;1,22;0,97;0,06;-1,02;-0,07;
16599,75;0,75;0,1;4,07;2,64;1,22;0,82;0,02;-1,17;-0,16;
16600;0,77;-0,49;3,88;2,83;1,22;0,64;-0,07;-1,28;-0,25;
16600,25;0,76;-0,94;3,45;3,02;1,22;0,49;-0,15;-1,34;-0,34;
16600,5;0,96;-1,13;3;2,98;1,22;0,41;-0,2;-1,34;-0,41;
16600,75;0,78;-1,07;2,66;2,98;1,21;0,36;-0,31;-1,31;-0,48;
16601;0,76;-0,77;2,32;2,97;1,22;0,23;-0,31;-1,2;-0,52;
16601,25;0,77;-0,42;2,08;2,59;1,22;0,06;-0,41;-1,09;-0,54;
16601,5;0,53;-0,06;1,75;2,44;1,22;-0,12;-0,36;-0,91;-0,54;
16601,75;0,57;0,14;1,49;2,29;1,21;-0,3;-0,43;-0,76;-0,53;
16602;0,57;0,18;1,34;2,05;1,22;-0,41;-0,34;-0,54;-0,5;
16602,25;0,37;0,09;1,29;2;1,21;-0,42;-0,36;-0,39;-0,45;
16602,5;0,19;0,01;1,25;1,86;1,22;-0,33;-0,25;-0,19;-0,39;
16602,75;0,19;-0,08;1,2;1,81;1,22;-0,2;-0,22;-0,07;-0,33;
16603;0,01;-0,13;1,2;1,81;1,22;-0,06;-0,09;0,08;-0,26;
16603,25;-0,2;-0,05;1,2;1,81;1,22;0,04;-0,03;0,15;-0,2;
16603,5;-0,2;0,09;1,24;1,81;1,21;0,09;0,09;0,22;-0,15;
16603,75;-0,19;0,19;1,25;1,81;1,22;0,08;0,17;0,22;-0,1;
16604;-0,18;0,22;1,35;1,81;1,22;0,05;0,26;0,21;-0,07;
16604,25;-0,21;0,18;1,44;1,81;1,21;0;0,35;0,16;-0,05;
16604,5;-0,22;0,12;1,2;1,81;1,22;-0,05;0,41;0,09;-0,05;
16604,75;-0,2;0,02;1,2;1,81;1,22;-0,06;0,47;0,02;-0,06;
16605;-0,2;-0,08;1,1;1,81;1,22;-0,02;0,51;-0,08;-0,09;
16605,25;-0,21;-0,15;1,1;1,81;1,22;-0,01;0,52;-0,14;-0,12;
16605,5;-0,2;-0,14;1,1;1,81;1,21;0;0,54;-0,22;-0,16;
16605,75;-0,2;-0,09;1,1;1,81;1,21;0,01;0,52;-0,25;-0,21;
16606;-0,21;0,02;1,2;1,8;1,22;0,01;0,53;-0,29;-0,25;
16606,25;-0,19;0,12;1,12;1,81;1,22;-0,04;0,45;-0,26;-0,29;
16606,5;-0,2;0,16;1,05;1,81;1,22;-0,11;0,46;-0,24;-0,31;
16606,75;-0,21;0,21;0,97;1,8;1,21;-0,15;0,35;-0,15;-0,33;
16607;-0,2;0,22;0,86;1,81;1,22;-0,16;0,37;-0,08;-0,33;
16607,25;-0,19;0,15;0,76;1,81;1,22;-0,17;0,23;0,06;-0,32;
16607,5;-0,39;0,1;0,56;1,81;1,21;-0,14;0,25;0,17;-0,28;
16607,75;-0,39;0,15;0,41;1,76;1,22;-0,1;0,11;0,32;-0,24;
16608;0,59;0,25;0,32;1,61;1,22;-0,07;0,14;0,44;-0,18;
16608,25;0,78;0,3;0,22;1,47;1,22;-0,02;0;0,58;-0,11;
16608,5;0,79;0,34;0,17;1,22;1,22;0,03;0,03;0,68;-0,03;
16608,75;0,97;0,41;0,17;1,07;1,21;0,04;-0,08;0,76;0,04;
16609;0,98;0,45;0,13;0,93;1,22;0,03;-0,06;0,82;0,12;
16609,25;0,96;0,44;0,02;0,93;1,22;0,04;-0,14;0,83;0,19;
16609,5;0,97;0,37;-0,02;0,83;1,22;0,06;-0,14;0,83;0,25;
16609,75;0,95;0,26;-0,07;0,83;1,22;0,06;-0,17;0,78;0,3;
16610;0,98;0,12;-0,07;0,84;1,22;0,04;-0,18;0,73;0,34;
16610,25;1,11;0,03;-0,06;0,83;1,22;0,03;-0,18;0,62;0,36;
