Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
25485;0;-1,62;0;0;0;0,7;0;0;0;
25485,25;0;-3,84;0;0;0;0,56;0;0;0;
25485,5;0;-4,41;0;0;0;0,54;0;0;0;
25485,75;0;-4,53;0;0;0;0,59;0;0;0;
25486;0;-4,42;0;0;0;0,67;0;0;0;
25486,25;0;-4,17;0;0;0;0,69;0;0;0;
25486,5;0;-3,73;0;0;0;0,71;0;0;0;
25486,75;0;-3,29;0;0;0;-0,02;0;0;0;
25487;0;-3,24;0;0;0;-0,27;0;0;0;
25487,25;0;-3,4;0;0;0;-0,37;0;0;0;
25487,5;0;-3,64;0;0;0;-0,37;0;0;0;
25487,75;0;-3,7;0;0;0;-0,3;0;0;0;
25488;0;-3,76;0;0;0;-0,19;0;0;0;
25488,25;0;-3,76;0;0;0;-0,06;0;0;0;
25488,5;0;-3,59;0;0;0;-0,05;0;0;0;
25488,75;0;-3,43;0;0;0;-0,15;0;0;0;
25489;0;-3,3;0;0;0;-0,28;0;0;0;
25489,25;0;-3,28;0;0;0;-0,33;0;0;0;
25489,5;0;-3,17;0;0;0;-0,32;0;0;0;
25489,75;0;-3,12;0;0;0;-0,29;0;0;0;
25490;0;-3,08;0;0;1,66;-0,14;0;0;0;
25490,25;0,35;-2,94;0,37;1,22;1,56;0,02;0,65;0,19;0,28;
25490,5;0,19;-2,8;0,46;1,26;1,46;0,13;0,72;0,57;0,47;
25490,75;0,18;-2,7;0,56;1,22;1,46;0,18;0,8;0,91;0,63;
25491;0,19;-2,78;0,61;1,22;1,47;0,18;0,77;1,1;0,7;
25491,25;-0,02;-2,9;0,61;1,22;1,46;0,11;0,79;1,2;0,7;
25491,5;0;-3,17;0,61;1,22;1,46;0,03;0,64;1,12;0,61;
25491,75;-0,19;-3,48;0,56;1,22;1,46;0,04;0,59;0,98;0,47;
25492;-0,21;-3,69;0,56;1,22;1,46;0,11;0,36;0,74;0,29;
25492,25;-0,4;-3,81;0,51;1,22;1,46;0,17;0,27;0,5;0,11;
25492,5;0,6;-3,7;0,51;1,22;1,46;0,17;0,01;0,24;-0,05;
25492,75;0,6;-3,46;0,51;1,23;1,47;0,18;-0,08;0,05;-0,17;
25493;0,79;-3,18;0,41;1,17;1,46;0,14;-0,32;-0,09;-0,23;
25493,25;0,8;-3,06;0,37;1,12;1,46;0,01;-0,4;-0,17;-0,25;
25493,5;1,57;-3,14;0,37;1,08;1,46;-0,12;-0,59;-0,19;-0,22;
25493,75;1,56;-3,2;0,37;0,98;1,46;-0,22;-0,64;-0,2;-0,18;
25494;1,56;-3,29;0,46;0,93;1,46;-0,27;-0,77;-0,18;-0,11;
25494,25;1,57;-3,45;0,56;0,93;1,46;-0,27;-0,8;-0,21;-0,07;
25494,5;1,56;-3,59;0,57;0,93;1,46;-0,23;-0,86;-0,22;-0,04;
25494,75;1,57;-3,51;0,66;0,93;1,46;-0,18;-0,87;-0,3;-0,05;
25495;1,56;-3,33;0,76;0,93;1,46;-0,15;-0,88;-0,36;-0,07;
25495,25;1,56;-3,14;0,86;0,93;1,47;-0,11;-0,85;-0,48;-0,12;
25495,5;1,57;-2,9;0,96;1,12;1,46;-0,07;-0,81;-0,54;-0,16;
25495,75;1,56;-2,64;1,05;1,32;1,46;-0,03;-0,73;-0,64;-0,22;
25496;1,56;-2,49;1,1;1,51;1,46;-0,01;-0,66;-0,65;-0,26;
25496,25;1,56;-2,52;1,2;1,61;1,46;0,05;-0,54;-0,69;-0,3;
25496,5;1,42;-2,69;1,25;1,61;1,46;0,14;-0,46;-0,63;-0,31;
25496,75;1,38;-2,88;1,25;1,57;1,46;0,18;-0,31;-0,61;-0,32;
25497;1,18;-3,09;1;1,57;1,46;0,2;-0,24;-0,52;-0,31;
25497,25;0,81;-3,37;1;1,56;1,46;0,2;-0,07;-0,46;-0,31;
25497,5;0,79;-3,55;0,96;1,56;1,46;0,17;-0,03;-0,36;-0,28;
25497,75;0,8;-3,67;0,81;1,56;1,46;0,11;0,13;-0,28;-0,26;
25498;0,61;-3,74;0,62;1,56;1,46;0,02;0,14;-0,19;-0,21;
25498,25;-0,57;-3,69;0,56;1,56;1,46;-0,04;0,27;-0,11;-0,18;
25498,5;0,6;-3,5;0,37;1,56;1,46;-0,08;0,27;-0,02;-0,1;
25498,75;0,6;-3,23;0,17;1,51;1,46;-0,12;0,36;0,07;-0,05;
25499;0,61;-3;0,08;1,25;1,46;-0,14;0,35;0,15;0,04;
25499,25;0,61;-2,84;-0,02;1,12;1,46;-0,15;0,39;0,23;0,1;
25499,5;0,6;-2,75;-0,07;0,88;1,46;-0,15;0,39;0,29;0,19;
25499,75;0,6;-2,77;-0,27;0,79;1,46;-0,14;0,38;0,34;0,24;
25500;-0,58;-2,86;-0,37;0,78;1,46;-0,08;0,41;0,36;0,31;
25500,25;0,6;-3,01;-0,41;0,73;1,46;0,02;0,34;0,36;0,32;
25500,5;-0,59;-3,13;-0,41;0,74;1,46;0,08;0,39;0,33;0,35;
25500,75;-0,57;-3,23;-0,36;0,74;1,47;0,09;0,28;0,29;0,32;
25501;0,61;-3,28;-0,26;0,73;1,46;0,08;0,36;0,21;0,29;
25501,25;0,6;-3,27;-0,12;0,74;1,46;0,04;0,21;0,13;0,22;
25501,5;0,6;-3,27;-0,02;0,73;1,46;-0,09;0,31;0,03;0,15;
25501,75;0,6;-3,28;0,13;0,98;1,46;-0,29;0,15;-0,07;0,06;
25502;0,6;-3,23;0,37;1,22;1,46;-0,47;0,25;-0,17;-0,04;
25502,25;0,78;-3,11;0,46;1,42;1,46;-0,58;0,09;-0,26;-0,14;
