Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
8290,75;-0,02;-0,01;0,96;0,49;0;0,19;1,78;-0,63;-0,18;
8291;-0,39;-0,14;0,91;0,5;0;0,16;1,61;-0,73;-0,29;
8291,25;-0,59;-0,19;0,91;0,49;0;0,12;1,57;-0,8;-0,36;
8291,5;0,8;-0,15;0,82;0,4;0;0,08;1,25;-0,8;-0,41;
8291,75;0,82;-0,18;0,62;0,3;0;0,05;1,09;-0,75;-0,41;
8292;1,19;-0,22;0,57;0,25;0;0,06;0,65;-0,63;-0,38;
8292,25;1,37;-0,24;0,52;0,2;0;0,06;0,4;-0,48;-0,3;
8292,5;1,77;-0,16;0,33;0,2;0;0,03;-0,08;-0,27;-0,21;
8292,75;1,77;-0,08;0,09;0,2;0;0,04;-0,36;-0,05;-0,08;
8293;1,94;-0,02;-0,01;0,2;0;0,1;-0,79;0,19;0,04;
8293,25;2,16;-0,04;-0,09;0,1;0;0,14;-1,03;0,41;0,19;
8293,5;2,56;-0,11;-0,25;0,11;0;0,13;-1,33;0,62;0,31;
8293,75;2,73;-0,19;-0,4;-0,14;0;0,13;-1,5;0,81;0,44;
8294;2,91;-0,24;-0,46;-0,33;0;0,17;-1,64;0,95;0,54;
8294,25;3,12;-0,32;-0,5;-0,38;0;0,17;-1,73;1,08;0,66;
8294,5;3,32;-0,45;-0,5;-0,43;0;0,12;-1,7;1,14;0,74;
8294,75;3,32;-0,6;-0,55;-0,43;0;0,04;-1,73;1,2;0,84;
8295;3,31;-0,62;-0,7;-0,43;0;0;-1,58;1,18;0,9;
8295,25;3,34;-0,64;-0,7;-0,43;0;-0,01;-1,57;1,18;0,97;
8295,5;3,31;-0,68;-0,65;-0,43;0;-0,01;-1,33;1,08;1;
8295,75;3,11;-0,6;-0,5;-0,43;0;0,01;-1,3;1,01;1,03;
8296;3,09;-0,39;-0,31;-0,43;0,97;0,03;-1,01;0,85;1,01;
8296,25;3,13;-0,15;-0,06;-0,43;0,92;0,08;-0,96;0,73;0,99;
8296,5;3,13;-0,1;0,33;-0,43;0,92;0,16;-0,68;0,53;0,92;
8296,75;3,11;-0,16;0,78;-0,38;0,92;0,19;-0,62;0,38;0,85;
8297;3,12;-0,2;1,31;-0,04;0,92;0,2;-0,38;0,17;0,73;
8297,25;3,12;-0,34;1,8;0,39;0,92;0,22;-0,34;0,01;0,63;
8297,5;3,13;-0,55;2,23;0,79;0,92;0,25;-0,17;-0,17;0,49;
8297,75;2,91;-0,85;2,32;1,13;0,87;0,28;-0,14;-0,31;0,37;
8298;2,92;-1,09;2,28;1,27;0,77;0,23;-0,08;-0,43;0,23;
8298,25;2,92;-1,22;2,28;1,37;0,72;0,19;-0,06;-0,54;0,12;
8298,5;2,92;-1,26;2,18;1,57;0,72;0,19;-0,08;-0,6;0,01;
8298,75;2,75;-1,26;2,18;1,76;0,67;0,16;-0,07;-0,67;-0,09;
8299;2,73;-1,15;2,18;1,86;0,62;0,06;-0,14;-0,68;-0,17;
8299,25;2,74;-0,98;2,28;1,96;0,62;-0,09;-0,13;-0,74;-0,25;
8299,5;2,72;-0,8;2,33;2,06;0,62;-0,18;-0,22;-0,72;-0,3;
8299,75;2,72;-0,72;2,33;2,11;0,62;-0,19;-0,19;-0,76;-0,36;
8300;1,1;-1,26;2,1;2,65;0,62;0,75;-0,1;0,2;-0,57;
8300,25;1,11;-1,3;2,1;2,7;0,62;0,75;-0,08;0,13;-0,56;
8300,5;1,1;-1,32;2,15;2,86;0,62;0,75;0,01;0,22;-0,53;
8300,75;1,1;-1,32;2,19;2,95;0,62;0,75;0,05;0,14;-0,52;
8301;1,12;-1,38;2,25;3;0,63;0,75;0,04;0,2;-0,49;
