Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
17985,5;0;-2,98;0;0;0;-0,2;0;0;0;
17985,75;0;-2,85;0;0;0;-0,23;0;0;0;
17986;0;-2,8;0;0;0;-0,3;0;0;0;
17986,25;0;-2,79;0;0;0;-0,35;0;0;0;
17986,5;0;-2,63;0;0;0;-0,38;0;0;0;
17986,75;0;-2,44;0;0;0;-0,4;0;0;0;
17987;0;-2,37;0;0;0;-0,46;0;0;0;
17987,25;0;-2,29;0;0;0;-0,47;0;0;0;
17987,5;0;-2,09;0;0;0;-0,46;0;0;0;
17987,75;0;-1,91;0;0;0;-0,43;0;0;0;
17988;0;-1,83;0;0;0;-0,37;0;0;0;
17988,25;0;-1,76;0;0;0;-0,31;0;0;0;
17988,5;0;-1,59;0;0;0;-0,3;0;0;0;
17988,75;0;-1,45;0;0;0;-0,32;0;0;0;
17989;0;-1,43;0;0;0;-0,31;0;0;0;
17989,25;0;-1,49;0;0;0;-0,27;0;0;0;
17989,5;0;-1,52;0;0;0;-0,21;0;0;0;
17989,75;0;-1,52;0;0;0;-0,12;0;0;0;
17990;0;-1,47;0;0;0;0;0;0;0;
17990,25;0;-1,33;0;0;0;0,11;0;0;0;
17990,5;0;-1,15;0;0;0;0,19;0;0;0;
17990,75;0,75;-1,09;0,52;2,05;0,91;0,26;-0,23;-1,05;-1,72;
17991;0,76;-1,21;0,37;2,05;0,92;0,33;-0,27;-1,25;-1,95;
17991,25;0,56;-1,41;0,23;2,05;0,91;0,35;-0,29;-1,38;-2,16;
17991,5;0,55;-1,6;0,13;2;0,92;0,34;-0,29;-1,33;-2,13;
17991,75;0,58;-1,79;-0,11;1,71;0,92;0,31;-0,26;-1,17;-2,03;
17992;0,58;-2;-0,41;1,27;0,92;0,28;-0,22;-0,83;-1,69;
17992,25;0,57;-2,27;-0,59;1,27;0,91;0,17;-0,14;-0,42;-1,33;
17992,5;0,57;-2,51;-0,8;0,98;0,91;0,05;-0,07;0,08;-0,81;
17992,75;0,58;-2,56;-1,03;0,79;0,92;-0,03;0,03;0,55;-0,34;
17993;0,57;-2,49;-1,21;0,64;0,92;-0,04;0,08;1,01;0,17;
17993,25;0,39;-2,27;-1,58;0,44;0,91;-0,05;0,16;1,37;0,56;
17993,5;0,39;-1,99;-1,63;0,2;0,92;-0,1;0,18;1,63;0,91;
17993,75;0,37;-1,61;-1,72;-0,05;0,92;-0,18;0,23;1,8;1,15;
17994;0,38;-1,35;-1,73;-0,24;0,92;-0,22;0,21;1,86;1,3;
17994,25;0,37;-1,32;-1,73;-0,34;0,97;-0,19;0,23;1,87;1,4;
17994,5;0,37;-1,47;-1,62;-0,34;0,97;-0,13;0,2;1,81;1,41;
17994,75;0,37;-1,64;-1,38;-0,34;0,97;0;0,2;1,78;1,45;
17995;0,36;-1,7;-1,38;-0,34;0,96;0,16;0,17;1,68;1,41;
17995,25;0,38;-1,73;-1,33;-0,34;0,97;0,29;0,17;1,67;1,44;
17995,5;0,4;-1,84;-1,24;-0,34;0,96;0,35;0,14;1,6;1,39;
17995,75;0,39;-2;-1,14;-0,33;0,96;0,35;0,14;1,6;1,41;
17996;0,39;-2,1;-0,93;-0,34;0,96;0,34;0,12;1,52;1,34;
17996,25;0,38;-2,26;-0,95;-0,34;0,96;0,31;0,11;1,5;1,34;
17996,5;0,38;-2,47;-0,91;-0,34;0,97;0,32;0,09;1,39;1,24;
17996,75;0,39;-2,49;-0,84;-0,34;0,97;0,33;0,07;1,31;1,2;
17997;0,38;-2,41;-0,79;-0,34;0,96;0,32;0,05;1,17;1,09;
17997,25;0,36;-2,39;-0,74;-0,34;0,97;0,29;0,03;1,04;1,03;
17997,5;0,38;-2,48;-0,65;-0,34;0,97;0,29;0,02;0,88;0,94;
17997,75;0,39;-2,58;-0,53;-0,33;0,97;0,3;-0,01;0,73;0,9;
17998;0,36;-2,66;-0,4;-0,34;0,96;0,29;0;0,58;0,85;
17998,25;0,38;-2,73;-0,36;-0,34;0,97;0,3;-0,02;0,42;0,83;
17998,5;0,37;-2,79;-0,26;-0,34;0,97;0,31;0;0,28;0,82;
