Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
565,5;0;1,99;0;0;0;0,53;0;0;0;
565,75;0;1,99;0;0;0;0,57;0;0;0;
566;0;1,98;0;0;0;0,56;0;0;0;
566,25;0;1,55;0;0;0;0,65;0;0;0;
566,5;0;1,09;0;0;0;0,78;0;0;0;
566,75;0;0,76;0;0;0;0,86;0;0;0;
567;0;0,4;0;0;0;0,92;0;0;0;
567,25;0;0,29;0;0;0;1,03;0;0;0;
567,5;0;0,31;0;0;0;1,15;0;0;0;
567,75;0;0,03;0;0;0;1,14;0;0;0;
568;0;-0,35;0;0;0;1,03;0;0;0;
568,25;0;-0,6;0;0;0;0,99;0;0;0;
568,5;0;-0,79;0;0;0;0,93;0;0;0;
568,75;0;-1,12;0;0;0;0,9;0;0;0;
569;0;-1,47;0;0;0;0,95;0;0;0;
569,25;0;-1,87;0;0;0;0,87;0;0;0;
569,5;0;-1,99;0;0;0;0,74;0;0;0;
569,75;0;-2,22;0;0;0;0,57;0;0;0;
570;0;-2,39;0;0;0;0,5;0;0;0;
570,25;0;-2,41;0;0;0;0,31;0;0;0;
570,5;0;-2,55;0;0;0;0,01;0;0;0;
570,75;2,95;-2,57;1,45;0,01;-3,32;-0,19;-0,7;-1,27;-0,3;
571;2,94;-2,56;1,25;-0,24;-3,32;-0,3;-0,86;-1,34;-0,38;
571,25;2,96;-2,3;0,91;-0,34;-3,32;-0,52;-1,04;-1,31;-0,43;
571,5;2,96;-2,3;0,47;-0,43;-3,32;-0,64;-1,08;-1,1;-0,39;
571,75;2,95;-2,05;0,08;-0,43;-3,32;-0,62;-1,12;-0,78;-0,31;
572;2,75;-1,49;-0,26;-0,43;-3,32;-0,7;-1,01;-0,28;-0,13;
572,25;2,94;-1,31;-0,71;-0,43;-3,32;-0,74;-0,92;0,28;0,06;
572,5;2,73;-1,09;-1,04;-0,43;-3,32;-0,75;-0,7;0,9;0,29;
572,75;2,76;-0,68;-1,34;-0,43;-3,32;-0,59;-0,55;1,47;0,49;
573;2,76;-0,48;-1,39;-0,44;-3,32;-0,54;-0,32;1,97;0,68;
573,25;2,57;-0,55;-1,53;-0,44;-3,32;-0,48;-0,17;2,34;0,8;
573,5;2,57;-0,45;-1,63;-0,44;-3,32;-0,28;0;2,55;0,87;
573,75;2,36;-0,34;-1,58;-0,43;-3,32;-0,16;0,1;2,62;0,87;
574;2,35;-0,32;-1,39;-0,43;-3,33;-0,06;0,19;2,52;0,82;
574,25;2,38;-0,54;-1,14;-0,33;-3,32;0,13;0,25;2,37;0,73;
574,5;2,35;-0,67;-0,8;-0,14;-3,32;0,27;0,27;2,06;0,6;
574,75;2,36;-0,6;-0,51;0,1;-3,32;0,37;0,33;1,81;0,48;
575;2,37;-0,64;-0,12;0,35;-3,32;0,48;0,31;1,44;0,35;
575,25;2,37;-0,82;0,37;0,54;-3,32;0,2;0,37;1,19;0,26;
575,5;2,18;-0,92;0,86;0,93;-3,32;0,51;0,34;0,84;0,16;
575,75;2,18;-1,07;1,25;1,17;-3,32;0,52;0,4;0,65;0,11;
576;2,16;-1,29;1,55;1,32;-3,32;0,49;0,35;0,35;0,05;
576,25;2,17;-1,65;1,74;1,32;-3,32;0,57;0,4;0,22;0,05;
576,5;2,17;-1,88;1,93;1,37;-3,32;0,6;0,34;-0,02;0,04;
576,75;2;-0,94;1,84;1,32;-3,32;0,54;0,37;-0,09;0,08;
577;2,16;-1,86;1,79;1,32;-3,32;0,5;0,31;-0,26;0,11;
577,25;2,17;-2,09;1,54;1,32;-3,32;0,45;0,33;-0,27;0,19;
577,5;2,18;-2,12;1,35;1,2;-3,32;0,32;0,29;-0,33;0,27;
577,75;2,17;-2,31;1,2;0,93;-3,32;0,13;0,3;-0,27;0,38;
578;2,17;-2,45;1,25;0,88;-3,32;0;0,29;-0,23;0,48;
578,25;2,18;-2,43;1,2;0,88;-3,32;0,25;0,3;-0,13;0,6;
578,5;2,18;-2,4;1,05;0,88;-3,32;-0,16;0,33;-0,01;0,71;
578,75;2,19;-2,42;1,05;0,88;-3,32;-0,27;0,33;0,09;0,81;
579;2,18;-2,25;1,05;0,88;-3,32;-0,32;0,37;0,21;0,87;
579,25;2,16;-2,05;1,06;0,88;-3,32;-0,43;0,35;0,26;0,91;
579,5;2,17;-1,89;0,96;0,88;-3,32;-0,51;0,38;0,34;0,9;
579,75;2,17;-1,7;0,96;0,88;-3,32;-0,58;0,33;0,3;0,86;
580;2,19;-1,38;1,01;0,88;-3,32;-0,63;0,35;0,32;0,77;
580,25;2,17;-1,27;1,05;0,88;-3,32;-0,7;0,28;0,21;0,65;
580,5;2,16;-1,15;1,25;1,12;-3,32;-0,7;0,27;0,18;0,49;
580,75;2,18;-1,01;1,3;1,42;-3,32;-0,7;0,2;0,02;0,31;
581;2,18;-0,93;1,3;1,81;-3,32;-0,72;0,17;-0,03;0,11;
581,25;2,21;-0,69;1,3;2,25;-3,32;-0,7;0,1;-0,19;-0,09;
