Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
6798,55;0;-0,39;0;0;0;0,11;0;0;0;
6798,575;0;-0,39;0;0;0;0,25;0;0;0;
6798,6;0;-0,39;0;0;0;0,27;0;0;0;
6798,625;0;-0,4;0;0;0;0,22;0;0;0;
6798,65;0;-0,35;0;0;0;0,18;0;0;0;
6798,675;0;-0,36;0;0;0;0,18;0;0;0;
6798,7;0;-0,71;0;0;0;0,2;0;0;0;
6798,725;0;-1,13;0;0;0;0,21;0;0;0;
6798,75;0;-1,22;0;0;0;0,22;0;0;0;
6798,775;0;-1,04;0;0;0;0,28;0;0;0;
6798,8;0;-0,93;0;0;0;0,34;0;0;0;
6798,825;0;-0,93;0;0;0;0,36;0;0;0;
6798,85;0;-0,99;0;0;0;0,21;0;0;0;
6798,875;0;-1,01;0;0;0;0,03;0;0;0;
6798,9;0;-1,07;0;0;0;-0,03;0;0;0;
6798,925;0;-1,23;0;0;0;-0,05;0;0;0;
6798,95;0;-1,36;0;0;0;-0,09;0;0;0;
6798,975;0;-1,43;0;0;0;-0,15;0;0;0;
6799;0;-1,34;0;0;0;-0,2;0;0;0;
6799,025;0;-1,22;0;0;0;-0,22;0;0;0;
6799,05;0;-1,12;0;0;0;-0,27;0;0;0;
6799,075;0,98;-0,9;0,23;1,37;1,56;-0,32;-0,7;0,55;0,54;
6799,1;0,97;-0,65;0,33;1,67;1,55;-0,37;-0,78;0,66;0,64;
6799,125;0,95;-0,49;0,47;2,01;1,5;-0,38;-0,82;0,75;0,7;
6799,15;0,97;-0,39;0,47;2,15;1,46;-0,36;-0,81;0,73;0,67;
6799,175;0,96;-0,35;0,52;2,29;1,46;-0,31;-0,74;0,69;0,57;
6799,2;0,96;-0,27;0,61;2,49;1,46;-0,24;-0,62;0,54;0,39;
6799,225;0,76;-0,27;0,66;2,59;1,45;-0,14;-0,46;0,39;0,16;
6799,25;0,59;-0,25;0,76;2,64;1,46;-0,11;-0,29;0,17;-0,11;
6799,275;0,38;-0,28;0,81;2,64;1,46;-0,13;-0,1;-0,01;-0,37;
6799,3;0,21;-0,27;0,92;2,64;1,46;-0,11;0,07;-0,21;-0,61;
6799,325;-0,02;-0,28;1;2,63;1,46;-0,07;0,24;-0,33;-0,81;
6799,35;0;-0,39;1;2,64;1,46;-0,02;0,34;-0,43;-0,94;
6799,375;-0,03;-0,47;1,01;2,64;1,45;-0,03;0,45;-0,46;-1,02;
6799,4;-0,02;-0,32;1,01;2,59;1,43;0;0,48;-0,45;-1,02;
6799,425;0,01;-0,11;1;2,59;1,36;0,03;0,53;-0,41;-1;
