Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
12985,5;0;4,96;0;0;0;1,44;0;0;0;
12985,75;0;3,75;0;0;0;1,58;0;0;0;
12986;0;2,91;0;0;0;1,69;0;0;0;
12986,25;0;2,33;0;0;0;1,74;0;0;0;
12986,5;0;1,76;0;0;0;1,73;0;0;0;
12986,75;0;1,15;0;0;0;1,72;0;0;0;
12987;0;0,64;0;0;0;1,73;0;0;0;
12987,25;0;0,21;0;0;0;1,36;0;0;0;
12987,5;0;-0,11;0;0;0;1,16;0;0;0;
12987,75;0;-0,27;0;0;0;1,05;0;0;0;
12988;0;-0,23;0;0;0;0,9;0;0;0;
12988,25;0;-0,21;0;0;0;0,65;0;0;0;
12988,5;0;-0,24;0;0;0;0,41;0;0;0;
12988,75;0;-0,33;0;0;0;0,17;0;0;0;
12989;0;-0,58;0;0;0;-0,08;0;0;0;
12989,25;0;-0,82;0;0;0;-0,28;0;0;0;
12989,5;0;-0,93;0;0;0;-0,33;0;0;0;
12989,75;0;-0,8;0;0;0;-0,26;0;0;0;
12990;0;-0,59;0;0;0;-0,19;0;0;0;
12990,25;0;-0,3;0;0;0;-0,19;0;0;0;
12990,5;0;0,14;0;0;0;-0,26;0;0;0;
12990,75;-0,41;0,56;1,36;1,18;-3,95;-0,36;0,64;0,03;0,76;
12991;-0,58;0,75;1,74;1,52;-3,95;-0,41;1,03;-0,03;0,86;
12991,25;0,61;0,56;2,01;1,82;-3,95;-0,39;0,87;-0,08;0,91;
12991,5;-0,58;0,32;2,23;2,04;-3,95;-0,41;1,17;-0,2;0,84;
12991,75;0,6;0,23;2,33;2,2;-3,95;-0,45;0,86;-0,31;0,71;
12992;-0,59;0,19;2,37;2,3;-3,95;-0,4;1,03;-0,47;0,46;
12992,25;0,6;0,27;2,38;2,55;-3,95;-0,29;0,61;-0,62;0,17;
12992,5;0,59;0,31;2,37;2,69;-3,95;-0,2;0,65;-0,78;-0,17;
12992,75;0,79;0,35;2,32;2,74;-3,95;-0,17;0,21;-0,91;-0,49;
12993;0,8;0,64;2,27;2,74;-3,95;-0,12;0,2;-1;-0,78;
12993,25;0,79;1,06;2,23;2,74;-3,95;-0,04;-0,16;-1,05;-1,01;
12993,5;0,99;1,34;2,13;2,69;-3,95;0,01;-0,19;-1,04;-1,14;
12993,75;1;1,44;2,08;2,69;-3,95;0,06;-0,4;-1;-1,23;
12994;1;1,35;1,99;2,69;-3,95;0,04;-0,43;-0,9;-1,21;
12994,25;1;1,07;1,89;2,69;-3,95;-0,03;-0,52;-0,8;-1,19;
12994,5;1,17;0,69;1,78;2,69;-3,95;0;-0,55;-0,66;-1,06;
12994,75;1,38;0,35;1,55;2,69;-3,95;0,08;-0,55;-0,56;-1;
12995;1,37;0,14;1,4;2,5;-3,95;0,13;-0,61;-0,42;-0,83;
12995,25;1,56;0,1;1,21;2,3;-3,95;0,11;-0,56;-0,34;-0,78;
12995,5;1,74;0,21;1,01;2,25;-3,95;0,08;-0,64;-0,24;-0,62;
12995,75;1,76;0,45;0,86;2,25;-3,95;0,04;-0,56;-0,2;-0,59;
12996;1,75;0,65;0,81;2,2;-3,95;-0,03;-0,62;-0,13;-0,45;
12996,25;1,76;0,81;0,81;2,2;-3,95;-0,14;-0,52;-0,13;-0,43;
12996,5;1,76;0,95;0,81;2,2;-3,95;-0,21;-0,55;-0,09;-0,29;
12996,75;1,77;1,12;0,81;2,2;-3,95;-0,21;-0,45;-0,1;-0,28;
12997;1,78;1,1;0,87;2,2;-3,95;-0,21;-0,44;-0,08;-0,17;
12997,25;1,77;0,95;1,01;2,2;-3,95;-0,28;-0,35;-0,1;-0,16;
12997,5;1,78;0,77;1,2;2,2;-3,95;-0,35;-0,32;-0,1;-0,09;
12997,75;1,76;0,79;1,35;2,25;-3,95;-0,34;-0,26;-0,12;-0,09;
12998;1,76;0,78;1,4;2,45;-3,95;-0,24;-0,24;-0,13;-0,08;
12998,25;1,58;0,71;1,5;2,55;-3,95;-0,05;-0,2;-0,14;-0,1;
12998,5;1,57;0,85;1,55;2,6;-3,95;0,07;-0,2;-0,14;-0,14;
12998,75;1,56;1,28;1,55;2,55;-3,95;0,05;-0,18;-0,13;-0,15;
12999;1,59;1,7;1,45;2,55;-3,95;-0,04;-0,19;-0,1;-0,21;
