Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
22985;0;-7,64;0;0;0;1,19;0;0;0;
22985,25;0;-7,88;0;0;0;1,35;0;0;0;
22985,5;0;-8,57;0;0;0;1,49;0;0;0;
22985,75;0;-9,15;0;0;0;1,66;0;0;0;
22986;0;-9,88;0;0;0;1,79;0;0;0;
22986,25;0;-10,55;0;0;0;1,84;0;0;0;
22986,5;0;-11,22;0;0;0;1,95;0;0;0;
22986,75;0;-11,7;0;0;0;1,99;0;0;0;
22987;0;-12,12;0;0;0;1,84;0;0;0;
22987,25;0;-12,61;0;0;0;1,71;0;0;0;
22987,5;0;-13;0;0;0;1,55;0;0;0;
22987,75;0;-13,16;0;0;0;1,42;0;0;0;
22988;0;-13,5;0;0;0;1,26;0;0;0;
22988,25;0;-13,84;0;0;0;1,1;0;0;0;
22988,5;0;-14,1;0;0;0;0,96;0;0;0;
22988,75;0;-14,29;0;0;0;0,81;0;0;0;
22989;0;-14,52;0;0;0;0,69;0;0;0;
22989,25;0;-14,8;0;0;0;0,64;0;0;0;
22989,5;0;-14,99;0;0;0;0,5;0;0;0;
22989,75;0;-15;0;0;0;0,36;0;0;0;
22990;0;-15,01;0;0;0;0,25;0;0;0;
22990,25;5,62;-15,05;1,52;-2,66;1,26;0,18;-2,79;0,04;2,32;
22990,5;5,61;-15,09;1,72;-2,06;1,26;0,09;-3,19;0,09;2,68;
22990,75;5,43;-15,09;1,92;-1,46;1,31;-0,06;-3,44;0,1;3,01;
22991;5,41;-15,02;2,02;-1,13;1,31;-0,16;-3,46;0,12;2,99;
22991,25;5,23;-14,92;2,16;-0,69;1,31;-0,22;-3,26;0,07;2,87;
22991,5;5,05;-14,84;2,02;-0,4;1,31;-0,32;-2,84;0,05;2,4;
22991,75;4,66;-14,82;2,12;-0,1;1,31;-0,48;-2,21;-0,04;1,88;
22992;4,27;-14,79;2,12;-0,01;1,31;-0,59;-1,53;-0,07;1,13;
22992,25;3,88;-14,64;2,01;0,08;1,31;-0,66;-0,7;-0,16;0,46;
22992,5;3,51;-14,5;1,92;0,33;1,31;-0,69;-0,02;-0,17;-0,25;
22992,75;3,3;-14,33;1,87;0,48;1,31;-0,73;0,75;-0,21;-0,8;
22993;2,73;-14,05;1,51;0,76;1,31;-0,74;1,21;-0,17;-1,26;
22993,25;2,34;-13,62;1,56;1,09;1,31;-0,72;1,78;-0,17;-1,56;
22993,5;2,12;-13,32;1,56;1,2;1,31;-0,69;1,95;-0,1;-1,74;
22993,75;1,56;-13,1;1,55;1,24;1,31;-0,65;2,3;-0,07;-1,83;
22994;1,16;-12,94;1,56;1,87;1,31;-0,63;2,24;-0,01;-1,83;
22994,25;0,79;-12,72;1,65;1,97;1,31;-0,59;2,44;0;-1,86;
22994,5;0,01;-12,61;1,69;2,05;1,31;-0,53;2,25;0,01;-1,81;
22994,75;0,17;-12,65;1,74;2,2;1,31;-0,44;2,34;-0,01;-1,87;
22995;0,41;-12,72;1,89;2,45;1,31;-0,38;2,08;-0,05;-1,82;
22995,25;0,78;-12,69;1,94;2,59;1,31;-0,33;2,06;-0,11;-1,9;
22995,5;1,15;-12,63;2,1;2,81;1,31;-0,3;1,76;-0,19;-1,85;
22995,75;1,14;-12,55;2,19;3,1;1,31;-0,26;1,62;-0,26;-1,9;
22996;1,33;-12,45;2,24;3,28;1,31;-0,27;1,3;-0,36;-1,8;
22996,25;1,32;-12,3;2,24;3,33;1,31;-0,33;1,05;-0,43;-1,8;
22996,5;1,54;-12,18;2,34;3,43;1,31;-0,37;0,77;-0,53;-1,67;
22996,75;1,55;-12,1;2,38;3,48;1,31;-0,37;0,46;-0,59;-1,64;
22997;1,73;-12,04;2,39;3,48;1,31;-0,37;0,28;-0,67;-1,52;
22997,25;1,73;-11,95;2,53;3,53;1,31;-0,41;-0,01;-0,71;-1,51;
22997,5;1,72;-11,8;2,53;3,53;1,31;-0,36;-0,03;-0,77;-1,44;
22997,75;1,74;-11,67;2,64;3,53;1,31;-0,2;-0,26;-0,8;-1,47;
22998;1,52;-11,6;2,73;3,58;1,31;-0,07;-0,14;-0,82;-1,45;
