Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
8285;0;0,07;0;0;0;0,12;0;0;0;
8285,25;0;-0,03;0;0;0;0,15;0;0;0;
8285,5;0;-0,21;0;0;0;0,17;0;0;0;
8285,75;0;-0,24;0;0;0;0,13;0;0;0;
8286;0;-0,23;0;0;0;0,06;0;0;0;
8286,25;0;-0,21;0;0;0;-0,01;0;0;0;
8286,5;0;-0,28;0;0;0;-0,05;0;0;0;
8286,75;0;-0,39;0;0;0;-0,12;0;0;0;
8287;0;-0,45;0;0;0;-0,23;0;0;0;
8287,25;0;-0,33;0;0;0;-0,24;0;0;0;
8287,5;0;-0,1;0;0;0;-0,16;0;0;0;
8287,75;0;0,11;0;0;0;-0,08;0;0;0;
8288;0;0,24;0;0;0;-0,06;0;0;0;
8288,25;0;0,32;0;0;0;-0,08;0;0;0;
8288,5;0;0,49;0;0;0;-0,07;0;0;0;
8288,75;0;0,48;0;0;0;0,04;0;0;0;
8289;0;0,26;0;0;0;0,19;0;0;0;
8289,25;0;0,02;0;0;0;0,33;0;0;0;
8289,5;0;-0,1;0;0;0;0,43;0;0;0;
8289,75;0;-0,15;0;0;0;0,51;0;0;0;
8290;0;-0,24;0;0;0;0,62;0;0;0;
8290,25;3,46;-0,44;0,47;1,76;1,16;0,63;-2,19;-0,63;-1,21;
8290,5;3,47;-0,68;0,32;1,4;1,16;0,56;-2,52;-0,84;-1,42;
8290,75;3,28;-0,88;0,08;1,17;1,16;0,48;-2,79;-1,01;-1,57;
8291;3,26;-1,06;-0,07;0,98;1,16;0,47;-2,78;-1,04;-1,52;
8291,25;3,12;-1,21;-0,21;0,79;1,16;0,47;-2,67;-1;-1,37;
8291,5;2,91;-1,35;-0,26;0,54;1,16;0,43;-2,28;-0,82;-1,03;
8291,75;2,67;-1,42;-0,36;0,3;1,16;0,37;-1,81;-0,59;-0,62;
8292;2,32;-1,41;-0,46;0,25;1,16;0,33;-1,2;-0,28;-0,12;
8292,25;2,11;-1,43;-0,5;0;1,16;0,29;-0,59;0,03;0,35;
8292,5;1,93;-1,5;-0,55;-0,09;1,16;0,25;-0,02;0,32;0,8;
8292,75;1,72;-1,55;-0,7;-0,19;1,16;0,21;0,52;0,58;1,15;
8293;1,53;-1,54;-0,8;-0,19;1,16;0,17;0,87;0,76;1,39;
8293,25;1,33;-1,54;-0,85;-0,19;1,16;0,16;1,22;0,91;1,54;
8293,5;1,1;-1,67;-0,9;-0,24;1,16;0,16;1,28;0,96;1,56;
8293,75;0,76;-1,75;-1,05;-0,24;1,16;0,13;1,46;1,04;1,57;
8294;0,56;-1,79;-1,04;-0,24;1,16;0,09;1,31;1,02;1,47;
8294,25;0,35;-1,83;-1,09;-0,24;1,16;0,08;1,41;1,09;1,45;
8294,5;0,19;-1,88;-1,09;-0,24;1,17;0,14;1,13;1,06;1,33;
8294,75;-0,21;-1,9;-1,14;-0,24;1,16;0,21;1,21;1,15;1,36;
8295;-0,18;-1,88;-1,14;-0,24;1,16;0,2;0,89;1,14;1,27;
8295,25;-0,39;-1,82;-1,14;-0,34;1,16;0,15;0,96;1,24;1,35;
8295,5;0,77;-1,77;-1,14;-0,38;1,21;0,06;0,62;1,21;1,27;
8295,75;0,95;-1,79;-1,19;-0,39;1,21;-0,04;0,65;1,28;1,35;
8296;0,97;-1,97;-1,23;-0,43;1,21;-0,11;0,32;1,21;1,26;
8296,25;0,97;-2,17;-1,29;-0,43;1,21;-0,15;0,31;1,21;1,3;
8296,5;0,96;-2,25;-1,29;-0,44;1,21;-0,14;0,04;1,1;1,2;
8296,75;0,98;-2,21;-1,28;-0,43;1,21;-0,11;0,02;1,04;1,2;
8297;0,95;-1,97;-1,19;-0,43;1,21;-0,03;-0,13;0,91;1,09;
8297,25;0,98;-1,72;-0,99;-0,44;1,21;0,07;-0,13;0,82;1,07;
8297,5;0,96;-1,54;-0,7;-0,44;1,21;0,16;-0,12;0,7;0,99;
8297,75;0,78;-1,45;-0,28;-0,43;1,21;0,21;-0,09;0,59;0,94;
8298;0,78;-1,45;0,13;-0,13;1,21;0,19;0,06;0,49;0,88;
8298,25;0,67;-1,5;0,74;0,29;1,21;0,14;0,11;0,37;0,79;
8298,5;-0,58;-1,69;1,34;0,69;1,21;0,13;0,35;0,29;0,73;
8298,75;-0,58;-2,01;1,73;1,12;1,21;0,14;0,38;0,16;0,59;
8299;-0,39;-2,45;1,83;1,37;1,16;0,15;0,65;0,09;0,51;
8299,25;-0,38;-2,81;1,83;1,51;1,16;0,16;0,63;-0,06;0,32;
8299,5;-0,39;-2,83;1,78;1,66;1,05;0,19;0,87;-0,12;0,23;
8299,75;-0,19;-2,65;1,78;2;0,14;0,23;0,81;-0,26;0,01;
8300;-0,01;-2,37;1,79;2,2;-0,63;0,23;0,99;-0,31;-0,08;
8300,25;0,01;-2,13;1,79;2,4;-1,46;0,16;0,91;-0,44;-0,28;
8300,5;0;-1,99;1,83;2,49;-2,65;0,01;1,01;-0,48;-0,35;
8300,75;0,17;-1,93;1,98;2,54;-3,62;-0,12;0,92;-0,57;-0,51;
8301;0,19;-2,02;1,98;2,59;-3,62;-0,15;0,95;-0,6;-0,56;
8301,25;0,2;-2,2;2,12;2,64;-3,73;-0,12;0,86;-0,67;-0,66;
8301,5;-0,01;-2,38;2,18;2,64;-3,62;-0,07;0,84;-0,7;-0,68;
8301,75;0;-2,49;2,23;2,69;-3,23;0;0,76;-0,75;-0,74;
8302;0;-2,48;2,37;2,73;-3,08;0,05;0,69;-0,76;-0,74;
8302,25;0,01;-2,46;2,37;2,74;-2,88;0,06;0,62;-0,79;-0,75;
8302,5;-0,21;-2,36;2,37;2,74;-2,18;0,01;0,55;-0,8;-0,75;
8302,75;-0,18;-2,28;2,32;2,74;-0,86;-0,02;0,48;-0,8;-0,73;
8303;-0,2;-2,18;2,22;2,73;0,09;-0,06;0,43;-0,78;-0,71;
8303,25;-0,36;-2,12;2,22;2,69;0,62;-0,13;0,37;-0,75;-0,68;
8303,5;-0,37;-2,13;2,15;2,64;1,02;-0,16;0,36;-0,7;-0,66;
8303,75;-0,38;-2,1;2,08;2,64;1,36;-0,2;0,29;-0,63;-0,62;
8304;-0,57;-2,06;1,88;2,64;1,36;-0,2;0,33;-0,54;-0,59;
8304,25;0,94;-2,15;1,78;2,64;1,41;-0,19;0,23;-0,44;-0,56;
8304,5;0,95;-2,21;1,64;2,64;1,41;-0,17;0,31;-0,3;-0,53;
8304,75;0,98;-2,12;1,49;2,64;1,41;-0,14;0,19;-0,19;-0,51;
8305;1,16;-1,99;1,35;2,64;1,41;-0,15;0,3;-0,02;-0,46;
